EID,NAME,ADDR1,ADDR2,CITY,PHONE,EMAIL,DOB,DOJ
1001,RAMESH GUPTA,SECTOR 7,Rohini,DELHI,9999002727,RK@YAHOO.CO.IN,9/1/90,3/15/12
1002,Sandeep Sharma,SECTOR 2,PALAM,GURGAON,9567890010,SAM1@YAHOO.COM,9/15/95,3/15/12
1003,Rajesh Sharma,Sector 11,Dwarka,DELHI,9999001001,RSharma56@gmail.com,3/16/01,4/1/12
1004,Yogeshwar Sharma,Sector 11,Dwarka,DELHI,8899001001,YSharma@gmail.com,9/25/89,5/10/12
1005,Manoj Kumar,B320,Janakpuri,DELHI,9999912399,mKumar@gmail.com,7/1/85,11/7/12
1006,Rohit Gupta,A32/620 Main Road,Sector 56,GURGAON,8899001123,rgupta@gmail.com,3/31/92,5/10/12
1007,Kapil Sharma,Jay Maa Apartments Flat 32,Sector 72,PUNE,9999001099,kSharma@gmail.com,9/28/87,5/10/12
1008,Archna Sharma,5C Karanpur,NP Road,PUNE,9899249700,ASharma@gmail.com,5/10/85,1/1/13
1009,Ranjeeta Goyal,Flat No 6A,Rajpur Road,DEHRADUN,9999002700,rgoyal@gmail.com,12/31/89,2/10/13
1010,Komal Singh,Sector 64,Old Gurgaon Road,GURGAON,7285912349,ksing@gmail.com,3/31/90,5/10/13
1011,AMIT KAPOOR,B2/45 DDA FLATS,JANAKPURI,DELHI,989970701,RK2@GMAIL.COM,1/1/92,1/4/15
1012,MONIKA ARORA,B1/45,JANAKPURI,DELHI,999999234,MA@GMAIL.COM,1/1/82,1/4/15
1013,ROHAN KUMAR,B305,RAJOURI GARDEN,DELHI,9811098110,RK@GMAIL.COM,10/10/98,1/4/16
1014,RAJAT KUMAR,HNO-B205,SECTOR 62,NOIDA,9811098115,RAJATK@GMAIL.COM,10/10/98,1/4/16
1015,ABHISHEK SHARMA,C2-101,JANAKPURI,DELHI,9898989800,AB@GMAIL.COM,10/11/82,3/5/18
1019,RAJAT KAPOOR,B501/1 POCKET 1,JANAKPURI,DELHI,9899256570,RJT@YAHOO.CO.IN,10/11/83,3/1/18
